Repo,Commithash,LargeClass,ComplexContainerComprehension,LongTernaryConditionalExpression,LongMessageChain,MultiplyNestedContainer,LongParameterList,LongLambdaFunction,LongScopeChaining,LongMethod,LongBaseClassList
allennlp/,2850579831f392467276f1ab6d5cda3fdb45c3ba,0,0,0,0,0,0,0,0,0,0
allennlp/,b9989913ee510401f0510b7fb2aacd829cc881e2,0,0,0,0,0,0,0,0,0,0
allennlp/,e69089d05fca0ac850b0150ca5e6dc7322cb13c4,0,0,0,0,0,0,0,0,0,0
DeepLabCut/,8f21597f5113a909dcc9a3e886846609425de783,0,0,0,0,0,0,0,0,0,0
DeepVideoAnalytics/,e4e8900ebc82b1847cd6721bb1c3fcba4ecffcd6,0,0,0,0,0,0,0,0,0,0
imgaug/,b27050ffeeee764f11c76cd1a4a064d3ef94bb50,0,0,0,0,0,0,0,0,0,0
imgaug/,58deb45ce1af00811c32ca7dfd170c9205998e10,0,0,0,0,0,0,0,0,-1,0
imgaug/,2dcbfd97b154f3b8cf10076e3e21fc5eacd927de,0,0,0,0,0,0,0,0,0,0
imgaug/,83be1c8d2459483967f70dd0958b4d4fc2684978,0,0,0,0,0,0,0,0,0,0
imgaug/,480f6c1e41b478b61872d2d0cef434b5455c0f72,0,-1,0,0,0,0,0,0,0,0
imgaug/,0a882a6706125acbe1d2aad990a7cf85cec709b6,0,0,0,0,0,0,0,0,0,0
imgaug/,6411c9079a834fd7549ab4593261a3619519eb02,0,0,0,0,0,0,0,0,-2,0
imgaug/,f5ba97d8316e20f445eac8a47e1cdeae3d2f38ca,0,0,0,0,0,0,0,0,0,0
imgaug/,9aa7db6d3ccd79641cfe1c9e25519e79900c7143,0,0,0,0,0,0,0,0,0,0
imgaug/,2054dbc5b91ec1e5c844f3680b60e6889b18fbd7,0,0,0,0,0,0,0,0,0,0
imgaug/,1194add0698cd140f333049fe8ba7e5005447f62,0,0,0,0,0,0,0,0,0,0
imgaug/,9dbfef687333678601378e195f78b05b0fd3c2b6,0,0,0,0,0,0,0,0,0,0
imgaug/,3fe5e7662de4cd6eb4abfd610094c766e4169912,0,0,0,0,0,0,0,0,0,0
imgaug/,a39951376bb880c89239cbdfd69ca769785b83f5,0,0,0,0,0,0,0,0,0,0
imgaug/,e719c8e58107b3ad5e43112e07bcbfc47e41b80a,0,0,0,0,0,0,0,0,0,0
imgaug/,44866fb3afcb830e5e3f01acb64e69ba666afa75,0,0,0,0,0,0,0,0,0,0
imgaug/,330e56a6f1d9f28e93e5e99ce39c7b2a5159e954,0,0,0,0,0,0,0,0,0,0
imgaug/,a21665205482296d26f2763139587c291aceb77c,0,0,0,0,0,0,0,0,0,0
imgaug/,05f7fc0189c8b5df5d91d44d05cde867b7c87d6f,0,0,0,0,0,0,0,0,0,0
imgaug/,ca9b6e60db0dce9e051058285f7b2b57d31cae0e,0,0,0,0,0,0,0,0,0,0
imgaug/,e4218c7584ab2c541fb7b87530c1937a479d76ba,0,0,0,0,0,0,0,0,0,0
imgaug/,11e5221a531e64eaa566c3a5fd03cd4395d44bf5,0,0,0,0,0,0,-6,0,0,0
imgaug/,cd2d64594155d1cae79f7b89538f29cc565949a7,0,0,0,0,0,0,0,0,0,0
imgaug/,9d5958294c4ff52ccecfa99f2e3f518a86b71125,0,0,0,0,0,0,0,0,0,0
imgaug/,6d27324706e7faa19c4e91255dec6c99d9c8526d,0,0,0,0,0,0,0,0,0,0
imgaug/,d3dfb5213e832d996a9646d33ca6148fa590d35d,0,0,0,0,0,0,0,0,0,0
imgaug/,e8e61cc0d25d63e9325c75938e82a8f6a27e9848,0,0,0,0,0,0,0,0,0,0
imgaug/,ba42666306dd36d582fe8862086a8c7229159c9d,0,0,0,0,0,0,0,0,0,0
imgaug/,2f92466d7827eb401fda0debe0a87fd2fa18906b,0,0,0,0,0,0,0,0,0,0
imgaug/,d1a4c6e46121a4fb1a383eb6d75d5f07524f59dd,0,0,0,0,0,0,0,0,0,0
imgaug/,3e88687eb8009812b755544836ecd08367fa28d8,0,0,0,0,0,0,0,0,0,0
imgaug/,81088b19d5bb52ab87a2e2429183f8a4cb453e83,0,0,0,0,0,0,0,0,0,0
imgaug/,c0f433aea1a58400767e5f655be1cc69fea51623,0,0,0,0,0,0,0,0,0,0
imgaug/,bace893b16df5ba2bf6bf264481b0c67565f8f5d,0,0,0,0,0,0,0,0,0,0
imgaug/,07d54c07d546e741defb40c6e17943771ca7ee80,0,0,0,0,0,0,0,0,0,0
imgaug/,ff1bfcb0499605f2cedf9b2aa53dafff2cd4a8c0,0,0,0,0,-8,0,0,0,-3,0
imgaug/,08ade34e33d1f6f0cd941af4096556e5746369ff,0,0,0,0,0,0,0,0,0,0
imgaug/,4095b5cb3b448857a47ea2fea669bca8937404ab,0,-3,-2,0,0,0,0,0,0,0
imgaug/,139300c1b4fcffe381a553192b2154b336eae0c4,0,0,0,0,0,0,0,0,0,0
imgaug/,e112a5f53d90978a5601fc8f410971de3f8e7183,0,0,0,0,0,-4,0,0,0,0
imgaug/,a639c56f640a9fc5bc487b5d4d9544cc876fa62a,0,0,0,0,0,0,0,0,0,0
imgaug/,b5c563a90f07c86b6939aad71e9506020f8b4eb6,0,0,0,0,0,0,0,0,0,0
texar/,653cefb9911b93b607b6fdd327592dde519f3834,0,0,0,0,0,0,0,0,0,0
texar/,02328194bf4994119468829974ed5fa1de034693,0,0,0,0,0,0,0,0,0,0
texar/,c1ee3eb4b555366f153879cbeafca3ca80a76fc0,0,0,0,0,0,0,0,0,0,0
texar/,90e8720d21b7e4641924a4135b30e21586de49ef,0,0,0,0,0,0,0,0,0,0
texar/,330a1ef3fbe3b83ef581e3a66c1808140a63a02b,0,0,0,0,0,0,0,0,0,0
texar/,e02f1a379696f66da7c2aff83e1f4af52f894614,0,0,0,0,0,0,0,0,0,0
texar/,d6dcffa15112f03d1bb08764740a78728e47e7d7,0,0,0,0,0,0,0,0,0,0
auto_ml/,b72a691b686ea0327939c3f756a329084c7acca8,0,0,0,0,0,0,0,0,0,0
auto_ml/,3dd1506f85618cf5ba6e82b18fc5760d374b80d6,0,0,0,0,0,0,0,0,0,0
auto_ml/,cc60e59a06b88bd95d4bb795b533dbbc8ecd0f5b,0,0,0,0,0,0,0,0,0,0
