Pattern size,Pattern ID,Pattern frequency,Pattern repos,Pattern commits,Sample ID,Repository,Datetime,Repo directory,Commit hash,Commit_message,Is bug fix
10,1038,3,1,1,25429295,https://github.com/williamFalcon/pytorch-lightning.git,01.05.2020 10:43:58,/data/stairs/batch5DL/pytorch-lightning,34bc1493596697a2dfc8c76036921b2bb2fb5013,move unnecessary dict trainer_options (#1469)* move unnecessary dict trainer_options* fix tests* fix tests* formatting* missing,TRUE
10,1038,3,1,1,25429291,https://github.com/williamFalcon/pytorch-lightning.git,01.05.2020 10:43:58,/data/stairs/batch5DL/pytorch-lightning,34bc1493596697a2dfc8c76036921b2bb2fb5013,move unnecessary dict trainer_options (#1469)* move unnecessary dict trainer_options* fix tests* fix tests* formatting* missing,TRUE
10,1038,3,1,1,25429290,https://github.com/williamFalcon/pytorch-lightning.git,01.05.2020 10:43:58,/data/stairs/batch5DL/pytorch-lightning,34bc1493596697a2dfc8c76036921b2bb2fb5013,move unnecessary dict trainer_options (#1469)* move unnecessary dict trainer_options* fix tests* fix tests* formatting* missing,TRUE
10,1620,3,1,1,35719349,https://github.com/tensorflow/tensor2tensor.git,04.05.2019 19:17:35,/data/stairs/batch6DL/tensor2tensor,53d0582af625c232a36dee7417eede9846180b96,Trax layers: rename Identity->Copy and make Branch take layers as input. Allow named tuples and add tests.PiperOrigin-RevId: 246683951,FALSE
10,1620,3,1,1,35719359,https://github.com/tensorflow/tensor2tensor.git,04.05.2019 19:17:35,/data/stairs/batch6DL/tensor2tensor,53d0582af625c232a36dee7417eede9846180b96,Trax layers: rename Identity->Copy and make Branch take layers as input. Allow named tuples and add tests.PiperOrigin-RevId: 246683951,FALSE
10,1620,3,1,1,35719355,https://github.com/tensorflow/tensor2tensor.git,04.05.2019 19:17:35,/data/stairs/batch6DL/tensor2tensor,53d0582af625c232a36dee7417eede9846180b96,Trax layers: rename Identity->Copy and make Branch take layers as input. Allow named tuples and add tests.PiperOrigin-RevId: 246683951,FALSE
10,856,3,1,1,24570277,https://github.com/williamFalcon/pytorch-lightning.git,05.10.2019 16:39:05,/data/stairs/batch5DL/pytorch-lightning,07c5d22ae3dbfe7e78057db15db106c6fb4ed4ba,cleaning up demos (#313)* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos,FALSE
10,856,3,1,1,24570080,https://github.com/williamFalcon/pytorch-lightning.git,05.10.2019 16:39:05,/data/stairs/batch5DL/pytorch-lightning,07c5d22ae3dbfe7e78057db15db106c6fb4ed4ba,cleaning up demos (#313)* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos,FALSE
10,856,3,1,1,24570268,https://github.com/williamFalcon/pytorch-lightning.git,05.10.2019 16:39:05,/data/stairs/batch5DL/pytorch-lightning,07c5d22ae3dbfe7e78057db15db106c6fb4ed4ba,cleaning up demos (#313)* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos* cleaning up demos,FALSE
10,1273,4,1,1,27414321,https://github.com/chainer/chainercv.git,06.10.2017 16:00:03,/data/stairs/batch6DL/chainercv,a3721d4a104c7d5f1565bf2c7885c7f977b8a3b3,use as_variable,FALSE
10,1273,4,1,1,27414322,https://github.com/chainer/chainercv.git,06.10.2017 16:00:03,/data/stairs/batch6DL/chainercv,a3721d4a104c7d5f1565bf2c7885c7f977b8a3b3,use as_variable,FALSE
10,1273,4,1,1,27414320,https://github.com/chainer/chainercv.git,06.10.2017 16:00:03,/data/stairs/batch6DL/chainercv,a3721d4a104c7d5f1565bf2c7885c7f977b8a3b3,use as_variable,FALSE
10,1273,4,1,1,27414319,https://github.com/chainer/chainercv.git,06.10.2017 16:00:03,/data/stairs/batch6DL/chainercv,a3721d4a104c7d5f1565bf2c7885c7f977b8a3b3,use as_variable,FALSE
10,787,5,1,2,24489203,https://github.com/tensorpack/tensorpack.git,18.04.2016 22:25:28,/data/stairs/batch5DL/tensorpack,76fe1b6be751068ba31df371c9e874498629f38a,update cifar number & fix multigpu restore bug,TRUE
10,787,5,1,2,24489204,https://github.com/tensorpack/tensorpack.git,14.04.2016 02:49:31,/data/stairs/batch5DL/tensorpack,9a4e6d9dfd4aaa994eee77f04e6b3947425b1334,use sparse softmax,FALSE
10,787,5,1,2,24489201,https://github.com/tensorpack/tensorpack.git,14.04.2016 02:49:31,/data/stairs/batch5DL/tensorpack,9a4e6d9dfd4aaa994eee77f04e6b3947425b1334,use sparse softmax,FALSE
